Function,Best,Median,Mean,Worst,SD,,,Function,Best,Median,Mean,Worst,SD
1,,,,,,1.71E+01,1.09E+03,1,1.71E+01,4.73E+02,1.09E+03,4.61E+03,1.24E+03
3,1.31E+03,3.59E+03,4.02E+03,8.31E+03,1.51E+03,3.05E+02,-1.70E+02,3,1.61E+03,3.79E+03,3.85E+03,6.73E+03,1.51E+03
4,8.74E-04,7.29E+01,7.35E+01,1.53E+02,4.42E+01,#VALUE!,9.80E+00,4,1.33E−02,7.21E+01,8.33E+01,1.46E+02,5.00E+01
5,2.83E+02,3.19E+02,3.20E+02,3.51E+02,1.42E+01,-1.83E+01,0.00E+00,5,2.65E+02,3.25E+02,3.20E+02,3.45E+02,1.79E+01
6,1.92E-07,3.32E-06,5.15E-06,2.77E-05,5.02E-06,#VALUE!,#VALUE!,6,3.11E−07,2.80E−06,3.78E−06,1.64E−05,3.52E−06
7,3.38E+02,3.72E+02,3.71E+02,3.95E+02,1.16E+01,-8.94E+00,-1.00E+00,7,3.29E+02,3.74E+02,3.70E+02,3.86E+02,1.41E+01
8,2.82E+02,3.24E+02,3.23E+02,3.53E+02,1.53E+01,8.34E+00,1.00E+00,8,2.90E+02,3.28E+02,3.24E+02,3.38E+02,1.36E+01
9,2.27E-13,5.68E-13,1.03E-01,1.73E+00,2.92E-01,-2.27E-13,#VALUE!,9,0.00E+00,0.00E+00,1.07E−02,8.95E−02,2.79E−02
10,1.19E+04,1.30E+04,1.30E+04,1.37E+04,4.06E+02,2.11E+02,0.00E+00,10,1.21E+04,1.28E+04,1.30E+04,1.37E+04,4.50E+02
11,2.25E+01,2.82E+01,2.94E+01,4.21E+01,4.31E+00,9.34E-01,5.10E+00,11,2.34E+01,2.96E+01,3.45E+01,1.45E+02,2.32E+01
12,3.05E+03,9.22E+03,1.20E+04,3.92E+04,8.02E+03,-8.89E+02,-2.54E+03,12,2.16E+03,7.71E+03,9.46E+03,3.17E+04,7.01E+03
13,6.29E+01,1.87E+03,2.87E+03,1.07E+04,2.80E+03,1.12E+01,-1.38E+03,13,7.41E+01,6.24E+02,1.49E+03,8.98E+03,2.16E+03
14,4.01E+01,1.25E+02,1.20E+02,1.95E+02,2.74E+01,1.75E+01,4.00E+00,14,5.76E+01,1.28E+02,1.24E+02,1.42E+02,1.87E+01
15,2.27E+01,3.69E+01,4.12E+01,1.17E+02,1.71E+01,2.52E+00,8.00E-01,15,2.52E+01,3.62E+01,4.20E+01,1.00E+02,1.68E+01
16,1.28E+02,2.15E+03,2.02E+03,2.70E+03,5.88E+02,2.02E+00,-1.90E+02,16,1.30E+02,2.01E+03,1.83E+03,2.70E+03,6.59E+02
17,4.88E+02,1.43E+03,1.38E+03,1.71E+03,2.11E+02,2.87E+02,-3.00E+01,17,7.75E+02,1.39E+03,1.35E+03,1.63E+03,1.90E+02
18,1.93E+02,5.47E+02,7.45E+02,2.64E+03,5.53E+02,-1.53E+01,-1.47E+02,18,1.78E+02,5.01E+02,5.98E+02,1.45E+03,3.37E+02
19,1.39E+01,2.68E+01,3.14E+01,6.36E+01,1.26E+01,4.47E+00,-9.00E-01,19,1.84E+01,2.92E+01,3.05E+01,5.13E+01,9.59E+00
20,9.78E+02,1.35E+03,1.35E+03,1.68E+03,1.36E+02,1.92E+02,2.00E+01,20,1.17E+03,1.40E+03,1.37E+03,1.62E+03,1.28E+02
21,4.76E+02,5.21E+02,5.18E+02,5.42E+02,1.30E+01,1.36E+01,3.00E+00,21,4.90E+02,5.25E+02,5.21E+02,5.46E+02,1.31E+01
22,1.00E+02,1.30E+04,1.20E+04,1.39E+04,3.49E+03,-2.73E-12,-1.00E+03,22,1.00E+02,1.31E+04,1.10E+04,1.35E+04,4.85E+03
23,4.21E+02,4.50E+02,5.56E+02,7.47E+02,1.34E+02,-7.79E-01,-1.40E+01,23,4.20E+02,4.46E+02,5.42E+02,7.49E+02,1.39E+02
24,4.96E+02,7.65E+02,6.75E+02,8.24E+02,1.37E+02,5.44E+00,-4.10E+01,24,5.01E+02,5.24E+02,6.34E+02,8.11E+02,1.39E+02
25,4.61E+02,5.64E+02,5.66E+02,6.13E+02,3.35E+01,-9.81E-01,-1.00E+01,25,4.60E+02,5.64E+02,5.56E+02,6.11E+02,4.62E+01
26,1.00E+03,1.26E+03,1.26E+03,1.58E+03,1.09E+02,5.59E+01,1.00E+01,26,1.06E+03,1.29E+03,1.27E+03,1.42E+03,9.18E+01
27,5.04E+02,5.78E+02,5.99E+02,9.18E+02,9.01E+01,1.38E+01,-7.00E+00,27,5.18E+02,5.64E+02,5.92E+02,9.16E+02,8.29E+01
28,4.59E+02,4.93E+02,4.92E+02,5.89E+02,2.09E+01,1.51E-01,2.00E+00,28,4.59E+02,4.97E+02,4.94E+02,5.70E+02,2.24E+01
29,3.14E+02,3.55E+02,3.55E+02,4.18E+02,1.82E+01,1.41E+01,5.00E+00,29,3.28E+02,3.55E+02,3.60E+02,4.09E+02,2.23E+01
30,5.79E+05,5.90E+05,6.05E+05,6.91E+05,3.30E+04,-4.16E+02,-9.00E+03,30,5.79E+05,5.81E+05,5.96E+05,6.52E+05,2.24E+04
